"token","wordscores_manifesto"
"sweden",1.68824405994805
"swedish",2.32546266582429
"sgp",2.7597999536062
"canary",2.80938831955499
"danish",2.81221040895111
"sweden's",2.85191033504816
"svp",2.94294799890849
"kke",2.96231595705327
"denmark",2.96697657297905
"islands",3.02062333875492
"god",3.02359805234875
"norwegian",3.02966486379769
"venstre",3.08325547103904
"vlaams",3.08327575834042
"belang",3.09477458582517
"norway",3.11162406284366
"greek",3.16730592882429
"vld",3.16774673155564
"sdlp",3.19748673301267
"conservatives",3.21044764235914
